study_prefix	N0	N1	first_author	year	citation
"as_igas"	15145	10619	Cortes	2013	cortes_identification_2013
"atd_cooper"	9364	2747	Cooper	2012	cooper_seven_2012
"cel_trynka"	12228	12041	Trynka	2011	trynka_dense_2011
"jia_hinks_UK"	13056	2816	Hinks	2013	hinks_dense_2013
"ms_imsgc"	24091	14498	IMSGC	2013	beecham_analysis_2013
"nar_faraco"	10421	1886	Faraco	2013	faraco_immunochip_2013
"pbc_liu"	8514	2861	Liu	2012	liu_dense_2012
"pso_tsoi"	10558	22806	Tsoi	2012	tsoi_identification_2012
"ra_eyre"	15870	11475	Eyre	2012	eyre_high-density_2012
"t1d_onengut_cc"	12835	6808	Onengut-Gumuscu	2015	onengut-gumuscu_fine_2015
"t1d_onengut_meta"	?	?	Onengut-Gumuscu	2015	onengut-gumuscu_fine_2015
"li_cvid"	10999	778	Li	2015	li_association_2015
